5	-0.396513E-04   -0.220265E-05   -0.243375E-04   -0.213350E-05
5.5	-0.327258E-04   -0.153109E-05   -0.200710E-04   -0.148303E-05
6	-0.274564E-04	-0.109657E-05	-0.168243E-04	-0.106215E-05
7 	-0.201101E-04	-0.604507E-06	-0.123007E-04	-0.585530E-06
8 	-0.153548E-04 	-0.359312E-06   -0.937701E-05	-0.348032E-06
9 	-0.121036E-04	-0.226264E-06	-0.738132E-05   -0.219161E-06
10  	-0.978480E-05	-0.148937E-06	-0.596035E-05	-0.144262E-06
12 	-0.677391E-05 	-0.719974E-07	-0.411871E-05   -0.697373E-07
14	-0.496559E-05	-0.388146E-07	-0.301518E-05	-0.375962E-07
16	-0.379548E-05	-0.226732E-07	-0.230240E-05	-0.219614E-07
18	-0.299514E-05	-0.140848E-07   -0.181553E-05	-0.136426E-07
20 	-0.242370E-05	-0.918640E-08  -0.146829E-05	-0.889802E-08
